,Venue,Venue Latitude,Venue Longitude,Venue Category
829,Famous Famiglia,40.76575420814235,-73.95726511907294,Pizza Place
830,Patsy's Pizzeria,40.765752,-73.957648,Pizza Place
831,Supercuts,40.76614291452296,-73.95711987247947,Salon / Barbershop
832,Starbucks,40.766059,-73.957547,Coffee Shop
833,Yia Yia's,40.7656231,-73.9570389,Greek Restaurant
834,Val El Salon and Spa,40.766192559013305,-73.95715024630431,Massage Studio
835,Papyrus,40.76619586,-73.95754192,Gift Shop
836,East Side River Walk,40.765390648616936,-73.9517249177492,Waterfront
837,SoulCycle West 60th Street,40.77246117365789,-73.98993027408413,Cycle Studio
838,All Seasons Nail & Spa,40.7732000519755,-73.98932504978148,Spa
839,Central Rock Gym,40.772634315236424,-73.9907887429527,Climbing Gym
840,EVF Columbus Circle,40.77150979949672,-73.98973676700084,Recreation Center
841,Morton Williams Supermarket,40.772169,-73.990199,Grocery Store
842,Pick A Bagel,40.773146004198075,-73.98940711907856,Bagel Shop
843,Row House NYC,40.77152712646813,-73.98938990674594,Gym / Fitness Center
844,Starbucks,40.772881326005155,-73.98966642591233,Coffee Shop
845,Peperino,40.772654,-73.991042,Pizza Place
846,Sessanta Club,40.7716630284897,-73.98912898988371,Gym
847,Hertz,40.77178610956832,-73.98930653424831,Rental Car Location
848,Manhattan Movement and Arts Center (MMAC),40.77182900150166,-73.98958409999528,Dance Studio
849,New York Sports Clubs,40.7741651,-73.9892929,Gym / Fitness Center
850,Subway,40.773172,-73.989606,Sandwich Place
851,prestige car rental,40.774015000000006,-73.98935,Rental Car Location
852,Lincoln Center for the Performing Arts,40.772282300238174,-73.98294841259204,Performing Arts Venue
853,David H. Koch Theater,40.772292228782284,-73.9832624208871,Theater
854,New York Philharmonic,40.7725263585612,-73.98313945354337,Concert Hall
855,Breads Bakery,40.7710295,-73.98180789999999,Bakery
856,David Geffen Hall,40.772305363002324,-73.983155909603,Concert Hall
857,Josie Robertson Plaza (Lincoln Center Plaza),40.7722274447236,-73.98302876064133,Plaza
858,Lincoln Center’s Revson Fountain,40.77233002217005,-73.98329343630411,Fountain
859,New York City Ballet,40.77228008900936,-73.98328251896085,Theater
860,The Smith,40.77150531958815,-73.98229201694723,American Restaurant
861,Rosa Mexicano,40.7711834505908,-73.9833246594503,Mexican Restaurant
862,lululemon athletica,40.77230312801631,-73.98186117410654,Clothing Store
863,Boulud Sud,40.77192955953719,-73.98157649135018,Mediterranean Restaurant
864,Cafe Fiorello,40.771735000935664,-73.98199555811516,Italian Restaurant
865,West Elm,40.77018188358475,-73.9819729268482,Furniture / Home Store
866,Dante Park,40.77202918569011,-73.98248990630684,Plaza
867,Atlantic Grill,40.7722052,-73.9811767,Seafood Restaurant
868,Épicerie Boulud,40.77203371788467,-73.98217041215067,Café
869,David Rubenstein Atrium at Lincoln Center,40.771090418236135,-73.98267210067277,Performing Arts Venue
870,The Empire Hotel,40.771545,-73.98263,Hotel
871,Bar Boulud,40.7718590542576,-73.98230114526464,French Restaurant
872,Le Pain Quotidien,40.77265656734981,-73.98163855075836,Café
873,Lincoln Plaza Fountain,40.77168786457775,-73.9820531034839,Plaza
874,P.J. Clarke's,40.77184767661627,-73.98277613228194,Burger Joint
875,The Empire Hotel Rooftop,40.77147785043831,-73.9827440886541,Roof Deck
876,IT'SUGAR,40.77011173453093,-73.9820716944862,Candy Store
877,Bed Bath & Beyond,40.7726316,-73.9818792,Furniture / Home Store
878,SAG-AFTRA,40.77188104273546,-73.9817499397748,General Entertainment
879,The Empire Hotel Lobby Bar,40.77164962714453,-73.98233466662263,Bar
880,Starbucks,40.77139241,-73.9824237,Coffee Shop
881,George Balanchine's The Nutcracker,40.77133013025747,-73.98350117045486,Opera House
882,Alice Tully Hall,40.773358555297165,-73.98237293981146,Concert Hall
883,Kiehl's,40.774129211002,-73.98155137896538,Cosmetics Shop
884,The Casbah,40.77375,-73.981767,Food Truck
885,Equinox Sports Club New York,40.77439,-73.981231,Gym
886,The Leopard at des Artistes,40.77332401742129,-73.97881715386707,Italian Restaurant
887,Lincoln Square,40.773574459099386,-73.98210475604584,Plaza
888,Crossfit NYC - Upper West Side,40.77441561462417,-73.98109653863574,Gym
891,Dig Inn,40.77426,-73.9815,American Restaurant
893,Unleashed by Petco,40.77444718631594,-73.98104936660039,Pet Store
894,Joanne Trattoria,40.77443169968248,-73.98054354601426,Italian Restaurant
897,Richard Tucker Square,40.77357467300629,-73.98196054620766,Plaza
898,MAC Cosmetics,40.77397353608048,-73.98140021150208,Cosmetics Shop
899,Century 21 Department Store,40.7740893,-73.9817959,Department Store
900,Burberry Brit,40.7745802,-73.981095,Clothing Store
907,Big Apple Circus,40.77213234383995,-73.98534816184991,Circus
908,Lincoln Center Out of Doors,40.772227916936686,-73.98531230790812,Performing Arts Venue
910,Damrosch Park,40.77217703584033,-73.98508910271165,Park
917,The Fhitting Room Penthouse,40.766466038164914,-73.96262874941318,Gym
918,Flywheel Sports,40.7664934,-73.9624749,Cycle Studio
919,SLT E 67,40.766508,-73.962584,Gym / Fitness Center
920,lululemon athletica,40.7655864,-73.9633547,Clothing Store
921,Paul Labrecque Salon & Spa,40.76556619999999,-73.9641549,Salon / Barbershop
922,Nike Running,40.7664195,-73.9628462,Sporting Goods Shop
923,Oath Pizza,40.766372827932635,-73.96312524179484,Pizza Place
924,Sant Ambroeus Coffee Bar at Hanley,40.76609103985554,-73.96330872452937,Café
925,Unleashed by Petco,40.76683457862311,-73.96274261976328,Pet Store
926,Exhale,40.76512,-73.962524,Spa
927,Pier 1 Imports,40.7656239899337,-73.9639239013195,Furniture / Home Store
928,Le Pain Quotidien,40.76575197242793,-73.96530121564871,Café
929,Chipotle Mexican Grill,40.76663836273142,-73.9625337144007,Mexican Restaurant
930,Equinox East 63rd Street,40.7644886843313,-73.96651148383634,Gym
931,Birch Coffee,40.763781420993965,-73.96649211645126,Coffee Shop
932,SoulCycle East 63rd,40.764589322129346,-73.96602758853878,Cycle Studio
933,Le Botaniste,40.765089676349135,-73.96605217018644,Vegetarian / Vegan Restaurant
934,Society of Illustrators,40.7648987837217,-73.96675710134046,Art Museum
935,Juice Generation,40.76436243501636,-73.9662453532219,Juice Bar
936,Lush Spa - Fresh Handmade Treatments,40.763525400555444,-73.96701195160858,Spa
937,JoJo,40.76526916331858,-73.96575373964369,French Restaurant
938,Barbaresco Restaurant,40.76546567993009,-73.96574511791452,Italian Restaurant
939,Alice's Teacup Chapter II,40.765174,-73.96568,Tea Room
940,Sabon,40.76344470409796,-73.96740161866896,Cosmetics Shop
941,Benefit Brow Bar,40.76497894533836,-73.96614658875502,Cosmetics Shop
942,Colony Club,40.765087195012775,-73.96827678206257,Building
943,Baked By Melissa,40.76342760233861,-73.9672885774581,Cupcake Shop
944,sweetgreen,40.7637144,-73.9674801,Salad Place
945,Pick-A-Bagel,40.76353896405111,-73.96717083475062,Bagel Shop
946,Loco Coco,40.76515677792631,-73.96603488563903,Juice Bar
948,Ajisai Japanese Fusion,40.76386147472986,-73.96694500131262,Japanese Restaurant
950,JackRabbit,40.76368202378682,-73.96503201741812,Sporting Goods Shop
952,Tony's Di Napoli,40.7645025568652,-73.96446577341291,Italian Restaurant
954,Gardens Suites Hotel by Affinia,40.76438275010004,-73.96312594413757,Hotel
955,juice press,40.7634671312426,-73.96512169599512,Vegetarian / Vegan Restaurant
956,Jackson Hole,40.7638694,-73.9629729,Burger Joint
957,INTIMACY {bra fit stylists},40.76363913644822,-73.96505291798675,Lingerie Store
958,Starbucks,40.764206,-73.96428,Coffee Shop
959,Mandarin Oriental,40.7689873,-73.9830172,Hotel
960,"The Spa at Mandarin Oriental, New York",40.76880509727191,-73.98306800985665,Spa
961,Birch Coffee,40.76816533125526,-73.98546859314051,Coffee Shop
962,Burrito Box,40.76816023359296,-73.98551501848841,Burrito Place
963,Masseria dei Vini,40.76825851178507,-73.98543867963437,Italian Restaurant
964,"The Lobby Lounge at Mandarin Oriental, New York",40.76898227856484,-73.98301550429915,Tea Room
965,Porter House,40.7687596,-73.9832053,Steakhouse
966,Arrow Pharmacy,40.76813914534705,-73.98549879877959,Pharmacy
967,LUSH,40.76869837651813,-73.98336027116397,Cosmetics Shop
968,Hudson Hotel,40.768290698668345,-73.9848679610161,Hotel
969,NYRR RUNCenter,40.767079052150685,-73.98392642532963,Community Center
970,Jazz at Lincoln Center,40.76822422081554,-73.98279190063477,Jazz Club
971,Juice Generation,40.76714351221069,-73.98284822702402,Juice Bar
972,Champion Pizza,40.766749578578136,-73.98283936874253,Pizza Place
973,Sophie's Cuban Cuisine,40.76594712150215,-73.98335867906229,Cuban Restaurant
974,Sur La Table,40.76691142565904,-73.9834015151169,Kitchen Supply Store
975,Paris Baguette,40.76701493037206,-73.982621910282,Bakery
976,Blue Ribbon Sushi Bar & Grill,40.76760994989555,-73.98290953446875,Sushi Restaurant
977,Pinkberry,40.767841,-73.983749,Frozen Yogurt Shop
978,Pressed Juicery,40.7673252121682,-73.98298514560224,Juice Bar
979,Per Se,40.76802920702854,-73.98270606994629,French Restaurant
980,TurnStyle Underground Market,40.767081,-73.982569,Food Court
981,Sonic Yoga,40.76593975498933,-73.98336142215217,Yoga Studio
982,Bareburger,40.76722476910784,-73.98349463939672,Burger Joint
983,CVS pharmacy,40.76671276040241,-73.98257912339287,Pharmacy
984,European Wax Center,40.76706663754898,-73.98377282527778,Health & Beauty Service
985,Deep Indian Kitchen (IndiKitch),40.76583435172985,-73.98343025101494,Indian Restaurant
986,Hearst Tower - The Club,40.766356562158606,-73.98312738970158,Gym
987,SEPHORA,40.767910157001936,-73.98272440244676,Cosmetics Shop
988,Momofuku Noodle Bar,40.768137,-73.982864,Noodle House
989,ABA Turkish Restaurant,40.767166181963745,-73.98410381227445,Turkish Restaurant
990,Balsley Park,40.76779055143718,-73.98559820843786,Park
991,Guantanamera,40.76579044707163,-73.98342871998938,Cuban Restaurant
992,"Nespresso Boutique at Sur La Table, Hearst Building",40.76665842358811,-73.98450559694747,Coffee Shop
993,Sheffield Skyclub Gym,40.766822065279776,-73.9842109667654,Gym
994,Bolivian Llama Party,40.76683256486805,-73.98284895000552,Empanada Restaurant
995,Sfilatino,40.76743254479751,-73.98450443424889,Sandwich Place
997,Sushi Damo,40.767907683615796,-73.98341000346174,Sushi Restaurant
1000,Rose Theater,40.768181731505514,-73.9820079011101,Jazz Club
1002,Columbus Circle,40.768144237203956,-73.98209901687298,Plaza
1003,Jean-Georges,40.76900833297408,-73.98157417774199,French Restaurant
1004,Dizzy's Jazz Club,40.768764,-73.982944,Jazz Club
1005,Nougatine at Jean Georges,40.76898801930434,-73.98163318634033,French Restaurant
1006,Frederick P. Rose Hall,40.768206903561726,-73.98196388193642,Jazz Club
1007,Sugarfina,40.76843824934802,-73.98270449864445,Candy Store
1008,Equinox Columbus Circle,40.76874192651226,-73.98214593908337,Gym / Fitness Center
1009,Whole Foods Market,40.76801497132407,-73.98172253878273,Grocery Store
1010,As One,40.769254434371426,-73.9820662602527,Gym
1013,Asiate,40.768534341197274,-73.98227833665365,Asian Restaurant
1014,The Appel Room,40.76801676581171,-73.98207626384833,Jazz Club
1017,Nougatine Terrace At Jean-Georges,40.76888488719061,-73.98125031304805,French Restaurant
1018,The Shops at Columbus Circle,40.76800792724918,-73.98172663247472,Shopping Mall
1020,Bouchon Bakery & Cafe,40.768108651394556,-73.98174590637709,Bakery
1022,Aveda Experience Center,40.768013457262676,-73.98180527224945,Cosmetics Shop
1025,Cole Haan,40.7687314,-73.9829529,Shoe Store
1029,Marea,40.7674524,-73.9811142,Seafood Restaurant
1030,Shobha,40.7667748,-73.9814628,Spa
1046,Nordstrom Men’s Store,40.76669659750052,-73.98210257291794,Department Store
1049,Maison Kayser,40.76726,-73.981554,Bakery
1051,Grom,40.767222,-73.981456,Ice Cream Shop
1066,Argo Tea,40.76714351221068,-73.98147225379944,Tea Room
1101,Rex,40.76886645658238,-73.98881868645958,Coffee Shop
1102,The Greek Kitchen,40.76968955893778,-73.98823816523908,Greek Restaurant
1103,"Fairfield Inn & Suites, Central Park",40.77023338583262,-73.98975626403626,Hotel
1104,Paris Baguette,40.769707,-73.988041,Bakery
1105,Starbucks,40.769371183187374,-73.98836833368998,Coffee Shop
1149,Carnegie Hall,40.7651249,-73.9799185,Concert Hall
1150,Stern Auditorium / Perelman Stage at Carnegie Hall,40.76501454610367,-73.9799702167511,Music Venue
1151,Myzel's,40.7636937738772,-73.9798240556455,Candy Store
1152,New York City Center,40.763926987716815,-73.97950288262027,Theater
1153,Steinway Hall,40.764503018996386,-73.97782956764235,Music Store
1154,Souvlaki GR,40.7646,-73.980194,Souvlaki Shop
1155,Zankel Hall at Carnegie Hall,40.76500375725871,-73.98043640043468,Concert Hall
1156,Indian Accent,40.76412724424148,-73.97878651245028,North Indian Restaurant
1157,Weill Recital Hall at Carnegie Hall,40.765366517574364,-73.97952845936908,Concert Hall
1158,Park Hyatt New York,40.765254511892145,-73.97917696788399,Hotel
1159,The Carnegie Club,40.76452599405845,-73.97973248681322,Lounge
1160,The Halal Guys,40.763826108090846,-73.98018212354839,Halal Restaurant
1161,Loi Estiatorio,40.76550581965617,-73.97804723303254,Greek Restaurant
1162,the Quin,40.764458418789125,-73.97755091533678,Hotel
1163,JW Marriott Essex House New York,40.76627698107096,-73.97857233995057,Hotel
1164,West 57th Street by Hilton Club,40.7644035,-73.9779596,Hotel
1165,Trattoria Dell' Arte,40.765319,-73.980267,Italian Restaurant
1166,Manhattan Theatre Club,40.76361341061886,-73.97971791457067,Indie Theater
1167,"Le Méridien New York, Central Park",40.76457735125854,-73.97849926996344,Hotel
1168,Morton Williams,40.76503854782786,-73.97887886592291,Supermarket
1169,Between the Bread,40.76394,-73.98005,Deli / Bodega
1170,Redeye Grill,40.765022235125855,-73.98067374365047,American Restaurant
1171,Duane Reade,40.7643755,-73.9777127,Pharmacy
1172,Topaz Thai,40.764201566910515,-73.97906935999751,Thai Restaurant
1177,Ed Sullivan Theater,40.76389395128865,-73.98266006802903,Theater
1178,Pret A Manger,40.765453476875,-73.98213977609093,Sandwich Place
1179,Yakitori Totto,40.76528403034622,-73.9833500911073,Japanese Restaurant
1180,La Esquina,40.764417353172966,-73.9814402384824,Taco Place
1181,Tanner Smiths,40.76448552196337,-73.98165211175073,Cocktail Bar
1182,sweetgreen,40.765232,-73.98175,Salad Place
1183,Nordstrom NYC Flagship,40.766245,-73.981246,Clothing Store
1184,Spyscape,40.76536359456341,-73.98351768385648,Museum
1186,Victoria's Secret NYHQ,40.76515990811232,-73.98202654494177,Office
1187,Donburiya,40.76538023382299,-73.98340045862203,Japanese Restaurant
1188,Roast Kitchen,40.76573779918906,-73.98058985744991,American Restaurant
1190,Park Central Hotel New York,40.76481,-73.9814,Hotel
1191,Westhouse Hotel New York,40.7645981,-73.9813142,Hotel
1192,Courtyard New York Manhattan/Central Park,40.764346,-73.9829058,Hotel
1193,Serafina Broadway,40.76452365676969,-73.98236113694176,Italian Restaurant
1194,Vida Verde,40.76515966752132,-73.98315242924772,Mexican Restaurant
1195,JOE & THE JUICE,40.76587736674312,-73.98197482976357,Juice Bar
1196,The Symphony House,40.765572076529025,-73.98258556436834,Building
1197,Angelo's Pizza,40.76376883602391,-73.98258152995221,Pizza Place
1198,Azuma,40.76529188140664,-73.98337492797391,Soba Restaurant
1199,Flûte Midtown,40.76386660152453,-73.9822072667119,Lounge
1200,Four Seasons Hotel,40.76194512106052,-73.97174099158845,Hotel
1201,Jim's Shoe Repair,40.7634125732713,-73.97110633512361,Shoe Store
1202,Apple Fifth Avenue,40.7636433,-73.9726971,Electronics Store
1203,BG Restaurant,40.764228546035504,-73.97329764840698,Tea Room
1204,Van Cleef & Arpels,40.76335551771402,-73.97411682209017,Jewelry Store
1205,Bergdorf Goodman,40.76347104455046,-73.97373564591501,Department Store
1206,Saint Laurent,40.76287247392285,-73.97363343483778,Boutique
1207,Chanel,40.762754177968375,-73.9727616399291,Boutique
1208,Tao,40.762659285620664,-73.97144107883544,Asian Restaurant
1209,Louis Vuitton,40.7630834,-73.9735461,Leather Goods Store
1210,59E59 Theaters,40.763282611239816,-73.97055117804918,Indie Theater
1211,Bulgari,40.763017381321234,-73.97411107606943,Jewelry Store
1212,Shobha,40.7623858,-73.9718723,Spa
1213,Lavo,40.762919168049976,-73.97133777386868,Nightclub
1214,Suit Supply,40.7636724321044,-73.97136493018704,Men's Store
1215,The Sherry-Netherland,40.764332,-73.9724963,Hotel
1216,Cartier,40.7638956,-73.9725354,Jewelry Store
1217,BALENCIAGA,40.7635394376054,-73.97171418489785,Women's Store
1218,Sex And The City Hotspots Guided Tour,40.76396414165358,-73.97315067784453,Tour Provider
1219,Starbucks,40.76307676,-73.97228402,Coffee Shop
1220,TY Bar,40.7620112565095,-73.97176007797745,Hotel Bar
1221,Magnolia Bakery,40.761978752577576,-73.96654671412085,Bakery
1222,Crush Wine & Spirits,40.760557805429,-73.96824586167922,Wine Shop
1223,Pierre Michel Salon,40.761315992638224,-73.96964137524314,Salon / Barbershop
1224,Bloomingdale's,40.762268,-73.967247,Department Store
1225,D&D Building,40.7608776,-73.9663436,Design Studio
1226,Louis Vuitton,40.76235161205562,-73.96811706956107,Boutique
1227,The Container Store,40.76161311674494,-73.96849988462407,Furniture / Home Store
1228,Areppas,40.76033373504638,-73.96743432455165,Latin American Restaurant
1229,Hutong,40.76136528270748,-73.96759214399935,Chinese Restaurant
1230,Dusnee Thai Spa,40.762934988585826,-73.96771022858891,Massage Studio
1231,Victoria's Secret,40.761742331794956,-73.96859184915036,Lingerie Store
1232,Le Colonial NYC,40.76083911842888,-73.96870987666681,Vietnamese Restaurant
1233,Kenneth Cole,40.761175137735044,-73.96925658798274,Boutique
1234,My Pie,40.760828550814324,-73.96934034103796,Pizza Place
1235,MUJI,40.762768,-73.968674,Furniture / Home Store
1236,Forty Carrots Restaurant,40.7625491,-73.9673955,Dessert Shop
1237,CB2,40.76100688,-73.96655786,Furniture / Home Store
1238,Dan Jones,40.760339,-73.967424,Coffee Shop
1239,A&D Building,40.76121083098762,-73.96775590624569,Furniture / Home Store
1240,Juan Valdez Café,40.76084131226692,-73.96875305498419,Coffee Shop
1241,The Home Depot,40.7614618,-73.9668809,Hardware Store
1244,Flywheel Sports,40.76212367,-73.9658335,Cycle Studio
1245,Scalinatella,40.762761445552506,-73.96556629404492,Italian Restaurant
1246,FlyBarre,40.76239875562695,-73.96595888659347,Gym / Fitness Center
1248,MNDFL Meditation,40.761565848581355,-73.96464097708291,Spiritual Center
1249,Anassa Taverna,40.762099402926964,-73.96596404830187,Mediterranean Restaurant
1250,Isle of Capri,40.76280660337758,-73.9657941312708,Italian Restaurant
1252,Dylan's Candy Bar,40.762164347458956,-73.96612633651402,Candy Store
1254,Chipotle Mexican Grill,40.762630101999704,-73.96614269900823,Burrito Place
1256,Dejavu,40.761886,-73.964957,Boutique
1258,Serendipity 3,40.76175815251792,-73.9650541838212,Dessert Shop
1259,Bumble & Bumble,40.75990252535224,-73.96910482861064,Salon / Barbershop
1260,Little Collins,40.7600213724379,-73.96988655156372,Coffee Shop
1261,Phillips,40.761552764526385,-73.97095588101891,Art Gallery
1262,BLT Steak,40.7611746,-73.97024689999999,Steakhouse
1268,Ninth Street Espresso,40.76065507532983,-73.97054349402381,Coffee Shop
1270,Metamorphosis Day Spa,40.76040984311046,-73.96972168215115,Spa
1271,Juicy Cube,40.76021229778338,-73.96970923121538,Juice Bar
1277,Equinox East 61st Street,40.761151,-73.961958,Gym
1278,The Jeffrey Craft Beer & Bites,40.76090722126324,-73.96305772556497,Beer Garden
1279,Treadwell Park,40.76146112347086,-73.96076080803624,Beer Garden
1280,ICE NYC,40.76011254023884,-73.96295510114648,Gym
1281,Earth Yoga NYC,40.76127072190423,-73.96204547441614,Yoga Studio
1282,TS Fitness,40.76108,-73.96217,Gym
1283,Sasabune Express,40.76026327939677,-73.96311746508297,Sushi Restaurant
1284,Yo Yoga! NYC,40.75976134132783,-73.96253231505861,Yoga Studio
1285,Bistro Vendome,40.75911454459662,-73.96169818030543,French Restaurant
1286,CMX CineBistro,40.761337726690094,-73.96040620075772,Movie Theater
1287,Adyar Anand Bhavans Pvt ltd,40.75934645081527,-73.96243393421173,Food Court
1288,Bed Bath & Beyond,40.7605066,-73.9610105,Furniture / Home Store
1289,Luscious Thai,40.760480196767055,-73.96162673932669,Thai Restaurant
1290,Blue & Gold Deli,40.75952545165415,-73.962075806611,Deli / Bodega
1291,Under The Bridge,40.759577220039354,-73.96196937626222,Greek Restaurant
1292,Juice Press,40.761117,-73.962046,Juice Bar
1293,Morso NYC,40.75928524878532,-73.96049237372317,Italian Restaurant
1294,Mount Vernon Hotel Museum,40.76029526333666,-73.95996149257886,History Museum
1295,Sutton Bar Room,40.759334299894796,-73.96213942561282,Bar
1296,T.J. Maxx,40.759540358079946,-73.96135103027575,Department Store
1297,Starbucks,40.76046811346453,-73.96127280120055,Coffee Shop
1298,Sugar East,40.761397723659975,-73.96071100605661,Speakeasy
1299,Sapphire New York Strip Club,40.76052839790494,-73.96229715855108,Strip Club
1300,El Porrón,40.76129754468684,-73.9607862848924,Tapas Restaurant
1301,Starbucks,40.75935954636262,-73.95315311551424,Coffee Shop
1302,Duane Reade,40.758773424428504,-73.95333485445008,Pharmacy
1303,Fuji East,40.758966489558965,-73.95244084627487,Japanese Restaurant
1304,Eleanor's Pier,40.7599039971876,-73.95324603232953,Scenic Lookout
1305,MTA Q102 Bus,40.759741687744764,-73.95285570973029,Bus Line
1306,475 Main Street Fitness Center,40.759954,-73.951787,Gym / Fitness Center
1307,Prestige Cleaners,40.759376525878906,-73.95287322998047,Dry Cleaner
1308,Michelle's Bench,40.7587926244101,-73.95281165223848,Park
1309,Piccolo Pizza,40.75896413259843,-73.95273370882775,Pizza Place
1310,Jupioca,40.75921,-73.952693,Bubble Tea Shop
1311,Riverwalk gym,40.758234318336136,-73.95366492893776,Gym
1312,Roosevelt Island Red Bus,40.75901813132572,-73.9534239732528,Bus Line
1313,Gershwin Theatre,40.76229788745356,-73.98516009966278,Theater
1314,Karaoke Duet 53,40.76413892248866,-73.9845718167945,Karaoke Bar
1315,Studio 54,40.7639438990542,-73.98398019591049,Theater
1316,August Wilson Theatre,40.76311985564257,-73.98449565148093,Theater
1317,Dig Inn,40.76300983,-73.98512583,American Restaurant
1318,Danji,40.76415948260659,-73.98672147375561,Korean Restaurant
1319,Bibble & Sip,40.76290379577729,-73.98533597588539,Coffee Shop
1320,Red Poke,40.763973974944314,-73.98489207647312,Poke Place
1321,Melt Shop,40.763919,-73.98528,Sandwich Place
1322,Ippudo Westside,40.76344,-73.98661,Ramen Restaurant
1323,Neil Simon Theatre,40.763210614716144,-73.9845209325927,Theater
1324,Ground Central Coffee Company,40.76393985012246,-73.98486999230091,Coffee Shop
1325,Russian Samovar,40.76324064558513,-73.98471693524058,Russian Restaurant
1326,Haswell Greens,40.76298494194753,-73.984248025176,Bar
1327,ViceVersa,40.76347083180072,-73.9867491402542,Italian Restaurant
1328,Pick A Bagel,40.764185447536164,-73.98462528665533,Bagel Shop
1329,Taco Bell Cantina,40.76275656100891,-73.98571822488196,Taco Place
1330,Cha Pa's Noodles and Grill,40.76388153149689,-73.9860522612686,Vietnamese Restaurant
1331,Russian Vodka Room,40.763333,-73.984415,Russian Restaurant
1332,Starbucks,40.76372,-73.98531,Coffee Shop
1333,Dainobu,40.762964742347336,-73.97636532783508,Food & Drink Shop
1334,Nobu Fifty Seven,40.76389592857833,-73.97606183807572,Sushi Restaurant
1335,Naya Express,40.76332509343089,-73.97696609753754,Lebanese Restaurant
1338,The Whitby Hotel,40.763115859411414,-73.97573760087634,Hotel
1339,Beyond Sushi,40.76345369164551,-73.9771627466244,Vegetarian / Vegan Restaurant
1340,Whitby Bar,40.763104846812354,-73.97572450240526,Hotel Bar
1341,Quality Italian,40.76451329448865,-73.97682710066374,Italian Restaurant
1342,Physique 57,40.76374341560388,-73.97559190296822,Gym
1343,Benoit Bistro,40.76265674568779,-73.97740324388022,French Restaurant
1344,"Davidoff of Geneva, on 6th Ave.",40.76391120597235,-73.9774931919306,Smoke Shop
1345,Bengal Tiger,40.763355,-73.977147,Indian Restaurant
1347,LOVE Sculpture by Robert Indiana,40.762965858752835,-73.97810962850056,Outdoor Sculpture
1348,SLT Midtown,40.764104,-73.976297,Gym / Fitness Center
1349,Blue Bottle Coffee,40.762967,-73.978642,Coffee Shop
1351,La Bonne Soupe,40.76255604759712,-73.97698761407503,French Restaurant
1352,Five Guys,40.762546,-73.976704,Burger Joint
1353,Il Corso,40.76251856997298,-73.9771656487821,Italian Restaurant
1354,Mangia,40.76405418310719,-73.97651499998001,Italian Restaurant
1356,Maki Maki,40.763312055874934,-73.97796761076866,Japanese Restaurant
1357,Dolby 88 Screening Room,40.76266940390182,-73.97769093461955,Indie Movie Theater
1358,Pazza Notte,40.76339098837448,-73.97789979324274,Italian Restaurant
1359,Rue 57,40.764084,-73.977134,French Restaurant
1360,Zibetto Espresso Bar,40.76382478578526,-73.97757449531264,Coffee Shop
1361,Floating Lotus,40.76315903711542,-73.97659622077433,Spa
1364,Potbelly Sandwich Shop,40.76310076916318,-73.9767235013752,Sandwich Place
1365,Judge Roy Bean Public House,40.7631088375134,-73.97652549803267,Pub
1366,Maison Kayser,40.76346917202151,-73.9778771948474,Bakery
1367,JOE & THE JUICE,40.762738,-73.97796629999999,Juice Bar
1368,Bice Cucina,40.76244,-73.977068,Italian Restaurant
1369,Broadway Theatre,40.763645106751696,-73.98330370414483,Theater
1371,Feinstein's/54 Below,40.764667524397495,-73.98364473818286,Performing Arts Venue
1377,HOPE Sculpture by Robert Indiana,40.7629730941759,-73.98208404907314,Outdoor Sculpture
1378,Chick-fil-A,40.765006,-73.983829,Fast Food Restaurant
1380,Shake Shack,40.763495,-73.982419,Burger Joint
1389,Pret A Manger,40.76351783897958,-73.98272980194838,Sandwich Place
1408,Black Tap,40.76354829292842,-73.97976265180624,Burger Joint
1417,Winter Garden Theatre,40.761405000079854,-73.98355456783145,Theater
1418,Mastro's Steakhouse,40.76127312641293,-73.98040626256562,Steakhouse
1419,Le Bernardin,40.76137916206961,-73.98175769517468,French Restaurant
1420,Concert Ticket Agency,40.76162351124053,-73.98321815233888,Performing Arts Venue
1421,Pret A Manger,40.76213709360646,-73.98241800426558,Sandwich Place
1423,Ruth's Chris Steak House,40.7613252601449,-73.98225814104075,Steakhouse
1424,Ocean Prime,40.7617438,-73.9805565,Seafood Restaurant
1425,The Capital Grille,40.76100715467246,-73.98117138792401,American Restaurant
1426,Urbanspace W52,40.761814,-73.981468,Food Court
1427,Remi Restaurant,40.762664,-73.980971,Italian Restaurant
1428,CHOPT,40.761164563705556,-73.98137435045916,Salad Place
1429,Capezio,40.76191455141776,-73.98316636091911,Clothing Store
1430,Maison Kayser,40.761252794227254,-73.98152019498458,Bakery
1431,Ellen's Stardust Diner,40.762081351884035,-73.98352795853918,Diner
1433,Equinox West 50th Street,40.761912,-73.984268,Gym
1435,Circle in the Square Theatre,40.761934737805,-73.98508787155151,Theater
1436,citizenM Hotel New York Times Square,40.761691026346256,-73.98495316332877,Hotel
1441,Princi Bakery,40.762167323791296,-73.98404894770087,Coffee Shop
1442,Ambassador Theatre,40.76119364668601,-73.98506355399162,Theater
1447,Junior's Restaurant,40.760829115440394,-73.98442916213794,American Restaurant
1451,Estiatorio Milos,40.76338575249098,-73.97920383304456,Greek Restaurant
1523,Museum of Modern Art (MoMA),40.76141150395245,-73.97746170919268,Art Museum
1524,MoMA Design Store,40.76131226783793,-73.97803177075146,Gift Shop
1525,DiSO's Italian Sandwich Society,40.76123700138127,-73.9795106324435,Food Truck
